https://scholia.toolforge.org/chemical-class/Q41581	.*/chemical-class/Q[0-9]*$	iframe #0	Class Hierarchy
https://scholia.toolforge.org/topic/Q668	.*/topic/Q[0-9]*$	iframe #3	Co-occurring topics map
https://scholia.toolforge.org/topic/Q668	.*/topic/Q[0-9]*$	iframe #5	Map of organizations associated with works about the topic
https://scholia.toolforge.org/topic/Q12174	.*/topic/Q[0-9]*$	iframe #1	Co-author graph
https://scholia.toolforge.org/topic/Q12174	.*/topic/Q[0-9]*$	iframe #5	Map of organizations associated with works about the topic
https://scholia.toolforge.org/organization/Q131626	.*/organization/Q[0-9]*$	iframe #4	Co-author-normalized citations per year
https://scholia.toolforge.org/topic/Q29496	.*/topic/Q[0-9]*$	iframe #1	Co-author graph
https://scholia.toolforge.org/topic/Q29496	.*/topic/Q[0-9]*$	iframe #5	Map of organizations associated with works about the topic
https://scholia.toolforge.org/use/Q5140318	.*/use/Q[0-9]*$	iframe #0	Topics of works using the resource
https://scholia.toolforge.org/topic/Q30	.*/topic/Q[0-9]*$	iframe #0	Publications per year
https://scholia.toolforge.org/topic/Q30	.*/topic/Q[0-9]*$	iframe #4	Author score
https://scholia.toolforge.org/topic/Q111140	.*/topic/Q[0-9]*$	iframe #2	Co-occurring topics graph
https://scholia.toolforge.org/topic/Q111140	.*/topic/Q[0-9]*$	iframe #4	Author score
https://scholia.toolforge.org/topic/Q41112	.*/topic/Q[0-9]*$	iframe #5	Map of organizations associated with works about the topic
https://scholia.toolforge.org/author/Q55004959	.*/author/Q[0-9]*$	iframe #9	Citations by year
https://scholia.toolforge.org/organization/Q583725	.*/organization/Q[0-9]*$	iframe #2	Page production
https://scholia.toolforge.org/topic/Q12156	.*/topic/Q[0-9]*$	iframe #1	Co-author graph
https://scholia.toolforge.org/author/Q46826387	.*/author/Q[0-9]*$	iframe #4	Topic scores
https://scholia.toolforge.org/author/Q46826387	.*/author/Q[0-9]*$	iframe #5	Associated images
https://scholia.toolforge.org/topic/Q84263196	.*/topic/Q[0-9]*$	iframe #4	Author score
https://scholia.toolforge.org/topic/Q1492760	.*/topic/Q[0-9]*$	iframe #5	Map of organizations associated with works about the topic
https://scholia.toolforge.org/organizations/Q1269766,Q193196	_unknown	iframe #1	Citations per year
https://scholia.toolforge.org/author/Q29253985	.*/author/Q[0-9]*$	iframe #4	Topic scores
https://scholia.toolforge.org/author/Q29253985	.*/author/Q[0-9]*$	iframe #5	Associated images
https://scholia.toolforge.org/author/Q29253985	.*/author/Q[0-9]*$	iframe #6	Timeline
https://scholia.toolforge.org/topic/Q52	.*/topic/Q[0-9]*$	iframe #0	Publications per year
https://scholia.toolforge.org/topic/Q52	.*/topic/Q[0-9]*$	iframe #3	Co-occurring topics map
https://scholia.toolforge.org/topic/Q181600	.*/topic/Q[0-9]*$	iframe #2	Co-occurring topics graph
https://scholia.toolforge.org/topic/Q181600	.*/topic/Q[0-9]*$	iframe #3	Co-occurring topics map
https://scholia.toolforge.org/topic/Q181600	.*/topic/Q[0-9]*$	iframe #4	Author score
